id,user_id,article_id,date,comment
1,4,1,"2022-01-16 10:30:00","Article très intéressant ! J'adore voir comment nos traditions sont remises au goût du jour. Le boubou en denim, quelle audace !"
2,6,1,"2022-01-17 14:00:00","Merci pour ce partage. C'est magnifique de voir cette fierté culturelle s'exprimer à travers la mode."
3,5,2,"2022-01-21 09:15:00","Omar Ndiaye est un génie ! J'économise pour m'offrir une de ses vestes. Son approche est tellement inspirante."
4,9,3,"2022-06-29 11:55:00","Les photos sont incroyables ! J'y étais et l'ambiance était électrique. Le street style à Dakar n'a rien à envier aux autres capitales de la mode."
5,10,3,"2022-06-30 18:20:00","Wow, quel festival de couleurs et de styles ! Ça donne envie de s'habiller et d'oser. Bravo Fatou Sow pour ces clichés."
6,2,4,"2022-09-11 12:00:00","Un article nécessaire pour mettre en lumière le travail exceptionnel de nos artisans. Il est crucial de soutenir et préserver ces savoir-faire."
7,8,5,"2022-11-06 21:45:00","Enfin on parle de mode durable au Sénégal ! C'est le futur. Les initiatives présentées sont géniales, je vais suivre Bëgg-Tekki de près."
8,1,5,"2022-11-07 08:10:00","Excellent article qui met en avant la créativité et l'ingéniosité de notre jeunesse. La mode peut et doit être un vecteur de changement positif."
9,7,16,"2022-02-13 15:00:00","Adja Youne est la définition même de l'élégance. Son travail est une source d'inspiration. Merci pour ce portrait complet."
10,4,16,"2022-02-14 11:23:00","J'ai vu sa dernière collection à la Fashion Week, c'était à couper le souffle. Cet article capture parfaitement sa vision."
